dliNumber,name,city,campus,province,pgwp,pgwpLink,,,
O147371918072,Peace River Bible Institute,Sexsmith ,Sexsmith ,Alberta,No, - ,,,
O269471149722,Visual College of Art and Design of Calgary,Calgary,Calgary,Alberta,No, - ,,,
O269322839472,CFI Flight Academy,Claresholm,Claresholm,Alberta,Yes, - ,,,
O269322839472,CFI Flight Academy,Okotoks,Okotoks,Alberta,Yes, - ,,,
O269325462572,Kanata Aviation Training Inc.,High River,High River,Alberta,Yes, - ,,,
O268629217542,Clearwater College,Caroline,Caroline,Alberta,No, - ,,,
O268324301272,Canadian Lutheran Bible Institute,Camrose,Camrose,Alberta,No, - ,,,
O267981215272,Brookes College,Calgary,Calgary,Alberta,No, - ,,,
O140240413612,Adventure Aviation,Grande Prairie,Grande Prairie,Alberta,Yes, - ,,,
O242632228347,ABM College of Business and Technology,Calgary,Calgary,Alberta,No, - ,,,
O19273743562,Academy of Learning,Calgary,Calgary North East,Alberta,No, - ,,,
O19273743562,Academy of Learning,Calgary,Calgary Central,Alberta,No, - ,,,
O19273743562,Academy of Learning,Medicine Hat,Medicine Hat,Alberta,No, - ,,,
O19273743562,Academy of Learning,Red Deer,Red Deer,Alberta,No, - ,,,
O19273743562,Academy of Learning,Edmonton,Edmonton West,Alberta,No, - ,,,
O19273743562,Academy of Learning,Edmonton,Edmonton South,Alberta,No, - ,,,
O278284584102,ACE Career College,Calgary,Calgary,Alberta,No, - ,,,
O261131738772,Aesthetics Pro,Calgary,Calgary,Alberta,No, - ,,,
O267527550052,AGA Academy,Calgary,Calgary,Alberta,No, - ,,,
O122912253227,Alberta Bible College,Calgary,Calgary,Alberta,Yes (details), - ,,,
O145426260722,Alberta Business and Health Institute,Red Deer,Red Deer,Alberta,No, - ,,,
O212235983277,Alberta College of Acupuncture and Traditional Chinese Medicine,Calgary,Calgary,Alberta,No, - ,,,
O280086611042,Alberta Educational Centre,Calgary,Calgary,Alberta,No, - ,,,
O18760756062,Alberta University of the Arts,Calgary,Calgary,Alberta,Yes, - ,,,
O133421346312,Alberta College of Massage Therapy,Edmonton,"Calgary, Edmonton, Edmonton Ð South, Fort McMurray, Grande Prairie, Lloydminster, Red Deer",Alberta,No, - ,,,
O263079866852,Alison College,Calgary,Calgary,Alberta,No, - ,,,
O18713147522,Ambrose University,Calgary,Calgary,Alberta,Yes (details), - ,,,
O246864157347,AnneÕs Language House,Calgary,Calgary,Alberta,No, - ,,,
O19092373272,Athabasca University,Athabasca,Athabasca,Alberta,Yes, - ,,,
O19092373272,Athabasca University,Edmonton,Athabasca University Ð Edmonton,Alberta,Yes, - ,,,
O121321694207,Bay River College,Calgary,Calgary,Alberta,No, - ,,,
O278324147112,Beauty Maker Institute,Calgary,Calgary,Alberta,No, - ,,,
O19273769422,Bow Valley College,Calgary,Calgary,Alberta,Yes, - ,,,
O19390898172,Burman University,Lacombe,Lacombe,Alberta,Yes, - ,,,
O111917070547,Calgary College of Traditional Chinese Medicine and Acupuncture,Calgary,Calgary,Alberta,No, - ,,,
O287513153262,Freedom Air Services and Training Ltd,Beaver County,Beaver County,Alberta,Yes, - ,,,
O121510793907,Cambrooks College,Calgary,Calgary,Alberta,No, - ,,,
O254363717757,Campbell College,Edmonton,Edmonton,Alberta,No, - ,,,
O19256722732,Canadian Institute of Traditional Chinese Medicine Corp.,Calgary,Calgary,Alberta,No, - ,,,
O19256741082,Canadian Baptist Theological Seminary and College,Cochrane,Cochrane,Alberta,Yes (details), - ,,,
O142448481732,Canadian Imperial College,Edmonton,Edmonton,Alberta,No, - ,,,
O263194936682,Canadian Health and Business College,Calgary,Calgary,Alberta,No, - ,,,
O140801484352,Canadian Institute of Osteopathic Therapy Inc,Calgary,Calgary,Alberta,No, - ,,,
O146014403412,Capstone Edge College,Calgary,Calgary,Alberta,No, - ,,,
O262084414542,"CDI College of Business, Technology and Health Care",Calgary,"Calgary, Calgary City Centre, Calgary South",Alberta,No, - ,,,
O262084414542,"CDI College of Business, Technology and Health Care",Edmonton,"Edmonton West, Edmonton South, Edmonton North, Edmonton City Centre",Alberta,No, - ,,,
O262084414542,"CDI College of Business, Technology and Health Care",Red Deer,Red Deer,Alberta,No, - ,,,
O291045642912,City University of Seattle,Calgary,Calgary,Alberta,Yes (details), - ,,,
O111345518667,"Centennial Flight Centre, Inc.",Sturgeon County,Sturgeon County,Alberta,Yes (details for Flight schools), - ,,,
O117353642757,"CLI College of Business, Health & Technology",Edmonton,Edmonton,Alberta,No, - ,,,
O19391275502,Columbia College,Calgary,Calgary,Alberta,No, - ,,,
O110120786917,Concordia Lutheran Seminary,Edmonton,Edmonton,Alberta,Yes (details), - ,,,
O19073475522,Concordia University of Edmonton,Edmonton,Edmonton,Alberta,Yes, - ,,,
O213501325307,CPA Western School of Business,Edmonton,Edmonton,Alberta,No, - ,,,
O125073908927,Cultural Connections Institute-The Learning Exchange (CCI-LEX),Edmonton,Edmonton,Alberta,No, - ,,,
O242536283107,Cypress College Inc.,Medicine Hat,Cypress College Ð Brooks Campus; Cypress College Ð Taber Campus,Alberta,No, - ,,,
O110206814387,Delmar College of Hair and Esthetics Inc.,Calgary,Calgary,Alberta,No, - ,,,
O19256763892,Digital School,Edmonton,Edmonton,Alberta,No, - ,,,
O138917416102,East-West College of Business and Technology,Calgary,Calgary,Alberta,No, - ,,,
O246354917297,Edmonton Flying Club,Spruce Grove,Spruce Grove,Alberta,Yes (details for Flight schools), - ,,,
O112565603857,Elevated Learning Academy Inc.,Calgary,Calgary,Alberta,No, - ,,,
O112565603857,Elevated Learning Academy Inc.,Edmonton,Edmonton,Alberta,No, - ,,,
O212476866687,Equilibrium School,Calgary,Calgary,Alberta,No, - ,,,
O124300140577,ERP College,Calgary,Calgary,Alberta,No, - ,,,
O260902561272,Excel Flight Training Incorporated,Lethbridge,Lethbridge,Alberta,Yes (details for Flight schools), - ,,,
O148782527182,Global College of Business & Technology,Calgary,Calgary,Alberta,No, - ,,,
O265009534572,Glenbow College,Calgary,Calgary,Alberta,No, - ,,,
O19391056654,Northwestern Polytechnic,Fairview,Fairview Campus,Alberta,Yes, - ,,,
O19391056654,Northwestern Polytechnic,Grand Prairie,Grande Prairie Campus,Alberta,Yes, - ,,,
O267576829032,Hamptons College,Calgary,Calgary,Alberta,No, - ,,,
O149663303652,International Gateway Language Academy and College Calgary,Calgary,Calgary,Alberta,No, - ,,,
O19283886532,Keyano College,Fort McMurray,Fort McMurray,Alberta,Yes, - ,,,
O18777577472,Lakeland College,Lloydminster,Lloydminster Campus,Alberta,Yes, - ,,,
O18777577472,Lakeland College,Vermillion,&nbsp;Vermillion Campus,Alberta,Yes, - ,,,
O19391056756,Lethbridge College,Lethbridge,Lethbridge,Alberta,Yes, - ,,,
O19257308652,LR Helicopters Inc.,Calgary,Calgary,Alberta,Yes (details for Flight schools), - ,,,
O19092022262,MacEwan University,Edmonton,"City Centre Campus, Centre for the Arts & Communications, Alberta College",Alberta,Yes, - ,,,
O113097545597,MaKami College Inc.,Calgary,Calgary,Alberta,No, - ,,,
O113097545597,MaKami College Inc.,Edmonton,Edmonton,Alberta,No, - ,,,
O114623912037,Maple Leaf Academy,Calgary,Calgary,Alberta,No, - ,,,
O19283886842,MC College,Calgary,Calgary,Alberta,No, - ,,,
O19283886842,MC College,Edmonton,Edmonton,Alberta,No, - ,,,
O19283886842,MC College,Red Deer,Red Deer,Alberta,No, - ,,,
O263593006222,MCG Career College,Calgary,"Calgary, Cold Lake, Red Deer",Alberta,No, - ,,,
O18795445892,Medicine Hat College,Brooks,Brooks Campus,Alberta,Yes, - ,,,
O18795445892,Medicine Hat College,Medicine Hat,Medicine Hat Campus,Alberta,Yes, - ,,,
O116699506097,MH Vicars School of Massage Therapy Ltd,Edmonton,Edmonton,Alberta,No, - ,,,
O116699506097,MH Vicars School of Massage Therapy Ltd,Calgary,Calgary,Alberta,No, - ,,,
O18761482032,Mount Royal University,Calgary,Calgary,Alberta,Yes, - ,,,
O266174955722,MTG Healthcare Academy,Calgary,"Calgary, Edmonton, Red Deer",Alberta,No, - ,,,
O18713200642,NAIT (Northern Alberta Institute of Technology),Calgary,Calgary Campus,Alberta,Yes, - ,,,
O18713200642,NAIT (Northern Alberta Institute of Technology),Edmonton,"Main Campus, Patricia Campus, Souch Campus",Alberta,Yes, - ,,,
O18713200642,NAIT (Northern Alberta Institute of Technology),St. Albert,St. Albert Campus,Alberta,Yes, - ,,,
O124154604587,NIWE Academy Inc.,Calgary,Calgary,Alberta,No, - ,,,
O19391057177,Newman Theological College,Edmonton,Edmonton,Alberta,Yes (details), - ,,,
O18795996622,NorQuest College,Drayton Valley,Drayton Valley Campus,Alberta,Yes, - ,,,
O18795996622,NorQuest College,Edmonton,"Edmonton Downtown, Westmount Campus",Alberta,Yes, - ,,,
O18795996622,NorQuest College,Stony Plain,Stony Plain Campus,Alberta,Yes, - ,,,
O18795996622,NorQuest College,Westlock,Westlock Campus,Alberta,Yes, - ,,,
O18795996622,NorQuest College,Wetaskiwin,Wetaskiwin Campus,Alberta,Yes, - ,,,
O18795996622,NorQuest College,Whitecourt,Whitecourt campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Grouard,Grouard Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Slave Lake,Slave Lake Main Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Athabasca,Athabasca Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Fort Vermillion,Fort Vermillion Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,High Level,High Level Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,High Prairie,High Prairie Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Grande Prairie,Grande Prairie Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Peace River,Peace River Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Valleyview,Valleyview Campus,Alberta,Yes, - ,,,
O19391056848,Northern Lakes College,Wabasca,Wabasca Campus,Alberta,Yes, - ,,,
O18713227822,Olds College,Calgary,Calgary Campus,Alberta,Yes, - ,,,
O18713227822,Olds College,Olds,Olds Campus,Alberta,Yes, - ,,,
O18713227822,Olds College,Edmonton,Edmonton Campus,Alberta,Yes, - ,,,
O266456888092,Peerless College,Calgary,Calgary,Alberta,No, - ,,,
O114625611087,Pixel Blue College Inc,Edmonton,Edmonton,Alberta,No, - ,,,
O111010246767,Portage College,"Lac La Biche, Cold Lake, St.Paul ","Lac La Biche, Cold Lake, St.Paul ",Alberta,Yes, - ,,,
O19273724652,Prairie College,Three Hills,"Three Hills, Prairie Aviation Training Centre",Alberta,Yes (details), - ,,,
O213391076817,Professional Institute of Massage Therapy,Calgary,Calgary,Alberta,No, - ,,,
O19391056880,Red Deer Polytechnic,Red Deer,Red Deer,Alberta,Yes, - ,,,
O263592785432,QCom College of Technology,Calgary,Calgary,Alberta,No, - ,,,
O140845267032,Reeves College,Calgary,"Calgary City Centre, Calgary North",Alberta,No, - ,,,
O140845267032,Reeves College,Edmonton,Edmonton,Alberta,No, - ,,,
O140845267032,Reeves College,Lethbridge,Lethbridge,Alberta,No, - ,,,
O140845267032,Reeves College,Lloydminster,Lloydminster,Alberta,No, - ,,,
O143319448932,Robertson College,"Calgary, Edmonton","Calgary, Edmonton",Alberta,No, - ,,,
O19257272712,Rocky Mountain College,Calgary,Calgary,Alberta,Yes (details), - ,,,
O141551857572,Rosewood College,Calgary,Calgary,Alberta,No, - ,,,
O111146866787,Alberta Ballet School,Calgary,Calgary,Alberta,No, - ,,,
O110116403397,Sky Wings Aviation Academy,Penhold,Penhold,Alberta,Yes (details for Flight schools), - ,,,
O18779890482,OHC Calgary,Calgary,Calgary,Alberta,No, - ,,,
O110120953397,Solomon College,Edmonton,Edmonton,Alberta,No, - ,,,
O18761749692,Southern Alberta Institute of Technology (SAIT Polytechnic),Calgary,Calgary,Alberta,Yes, - ,,,
O19257198622,Springbank Air Training College,Calgary,Calgary,Alberta,Yes (details for Flight schools), - ,,,
O19273782872,St. MaryÕs University,Calgary,Calgary,Alberta,Yes, - ,,,
O19391057115,St. StephenÕs College (U of Alberta Campus),Edmonton,Edmonton,Alberta,Yes (details), - ,,,
O18713255252,Bayswater Calgary,Calgary,Calgary,Alberta,No, - ,,,
O142067911062,Sundance College,Calgary,Calgary,Alberta,No, - ,,,
O110657012357,Super T Aviation Academy,Medicine Hat,Medicine Hat,Alberta,Yes (details for Flight schools), - ,,,
O256565633727,The Esthetic Institute Training Center,Calgary,Calgary,Alberta,No, - ,,,
O18713250142,The KingÕs University,Edmonton,Edmonton,Alberta,Yes, - ,,,
O142243313422,The Royal Alberta College,Edmonton,Edmonton,Alberta,No, - ,,,
O129951946077,Timberline Canadian Alpine Academy,Banff,Banff,Alberta,No, - ,,,
O19257171832,University of Alberta,Camrose,Augustana Campus,Alberta,Yes, - ,,,
O19257171832,University of Alberta,Edmonton,"Main, Campus St. Jean",Alberta,Yes, - ,,,
O18886830282,University of Calgary,Calgary,Calgary,Alberta,Yes, - ,,,
O18776949622,University of Lethbridge,Calgary,Calgary Campus,Alberta,Yes, - ,,,
O18776949622,University of Lethbridge,Lethbridge,Lethbridge,Alberta,Yes, - ,,,
O19283889212,Vanguard College,Edmonton,Edmonton,Alberta,Yes (details), - ,,,
O121289584447,Wholistic Health Training & Research Centre,Edmonton,EdmontonNAKH Institute of Education,Alberta,No, - ,,,
O18713200642,NAIT (Northern Alberta Institute of Technology),Edmonton,Spruce Grove Crane and Hoist Campus,Alberta,Yes, - ,,,
O145024872092,Southeast College,"Weyburn, Estevan, Assiniboia, Indian Head, Moosomin, Whitewood","Weyburn, Estevan, Assiniboia, Indian Head, Moosomin, Whitewood",Saskatchewan,Yes, - ,,,
O265527598312,North West College,"North Battleford, Meadow Lake","North Battleford, Meadow Lake",Saskatchewan,Yes, - ,,,
O110820050587,Academy of Fashion Design,Saskatoon,Saskatoon,Saskatchewan,No, - ,,,
O212421004567,Academy of Learning College Ð Saskatoon,Saskatoon,Saskatoon,Saskatchewan,No, - ,,,
O19425193620,Briercrest College and Seminary,Caronport,Caronport,Saskatchewan,Yes, - ,,,
O242735687677,Collège Mathieu,Gravelbourg,Gravelbourg,Saskatchewan,Yes, - ,,,
O122051172047,College of Emmanuel and St Chad,Saskatoon,Saskatoon,Saskatchewan,Yes, - ,,,
O132526861247,Elite Hairstyling and Esthetics Training Center,Moose Jaw,Moose Jaw,Saskatchewan,No, - ,,,
O110032269317,Eston College,Eston,Eston,Saskatchewan,No, - ,,,
O214383061827,Great Plains College,Swift Current,"Swift Current Campus, Kindersley Campus, Warman Campus, Biggar Campus, Maple Creek Campus",Saskatchewan,Yes, - ,,,
O214426376877,Horizon College and Seminary Inc.,Saskatoon,Saskatoon,Saskatchewan,Yes, - ,,,
O213779356297,Lutheran Theological Seminary,Saskatoon,Saskatoon,Saskatchewan,Yes, - ,,,
O110820209297,Millar College of the Bible,Pambrun,Pambrun,Saskatchewan,No, - ,,,
O248070508887,Millennium Aviation,Saskatoon,Saskatoon,Saskatchewan,Yes (details for Flight schools), - ,,,
O212534589967,Mitchinson Flying Service,Saskatoon,Saskatoon,Saskatchewan,Yes (details for Flight schools), - ,,,
O117830380977,Nipawin Bible College,Nipawin,Nipawin,Saskatchewan,No, - ,,,
O19425521569,Suncrest College,Yorkton,Main Campus,Saskatchewan,Yes, - ,,,
O19425521569,Suncrest College,Yorkton,Trades & Technology Centre,Saskatchewan,Yes, - ,,,
O19425521569,Suncrest College,Nipa win,Nipa win Campus,Saskatchewan,Yes, - ,,,
O19425521569,Suncrest College,Mel fort,Mel fort Campus,Saskatchewan,Yes, - ,,,
O19425521569,Suncrest College,Tisdale,Tisdale Campus,Saskatchewan,Yes, - ,,,
O119370011347,Regina Flying Club,Regina,Regina,Saskatchewan,Yes (details for Flight schools), - ,,,
O19425521849,Saskatchewan Polytechnic,Moose Jaw,Moose Jaw,Saskatchewan,Yes, - ,,,
O19425521849,Saskatchewan Polytechnic,Prince Albert,Prince Albert,Saskatchewan,Yes, - ,,,
O19425521849,Saskatchewan Polytechnic,Regina,Regina,Saskatchewan,Yes, - ,,,
O19425521849,Saskatchewan Polytechnic,Saskatoon,Saskatoon,Saskatchewan,Yes, - ,,,
O19425521728,Saskatoon Business College,Saskatoon,Saskatoon,Saskatchewan,No, - ,,,
O212421811707,St. AndrewÕs College,Saskatoon,Saskatoon,Saskatchewan,Yes, - ,,,
O115221677157,St. PeterÕs College,Muenster,Muenster,Saskatchewan,Yes, - ,,,
O117975904187,The Professional Institute of Massage Therapy Ltd,Saskatoon,Saskatoon,Saskatchewan,No, - ,,,
O19425660270,"University of Regina, including Campion College, First Nations University of Canada and Luther College",Regina,Regina,Saskatchewan,Yes, - ,,,
O19425660421,"University of Saskatchewan, including St. Thomas More College",Saskatoon,Saskatoon,Saskatchewan,Yes, - ,,,
O159166546612,Millar College of the Bible,Winnipeg,Winnipeg,Manitoba,No, - ,,,
O156925031542,Brandon Flight School at Assiniboine Community College,Brandon,Brandon,Manitoba,Yes (details), - ,,,
O19201282282,Assiniboine Community College,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O19201282282,Assiniboine Community College,Dauphin,Dauphin,Manitoba,Yes, - ,,,
O277650671352,Assiniboine Community College at Robertson College,Winnipeg,Winnipeg,Manitoba,Yes (details), - ,,,
O270705119262,"The Canadian Beauty Academy (Esthetics, Hairstyling, Skin Care Technician, Nail Technician)",Winnipeg,Winnipeg,Manitoba,No, - ,,,
O270706191422,Air Andrew Ltd.,Virden,Virden,Manitoba,Yes (details for Flight schools), - ,,,
O270643232342,Louis Riel Vocational College (Indigenous Focused Early Childhood Educator),Winnipeg,Winnipeg,Manitoba,No, - ,,,
O262539608072,Herzing College [Supply Chain Management and Logistics; Occupational Health and Safety Officer; Medical Laboratory Assistant; Hospitality and Event Management],Winnipeg,Winnipeg,Manitoba,No, - ,,,
O143830057202,Academy of Learning Winnipeg North (Computerized Accounting),Winnipeg,Winnipeg,Manitoba,No, - ,,,
O19201282282,Assiniboine Community College,Brandon,Brandon,Manitoba,Yes, - ,,,
O19375444982,Aveda Institute Winnipeg (Hairstyling),Winnipeg,Winnipeg,Manitoba,No, - ,,,
O19147992362,Booth University College,Winnipeg,Winnipeg,Manitoba,Yes (details for Flight schools), - ,,,
O110095820687,Brandon Flying Club,Brandon,Brandon,Manitoba,Yes (details for Flight schools), - ,,,
O19201298932,Brandon University,Brandon,Brandon,Manitoba,Yes, - ,,,
O125015936327,CDI College (Winnipeg Campus) - [Intra-Oral Dental Assistant],Winnipeg,Winnipeg,Manitoba,No, - ,,,
O113889884617,Canadian Baptist Bible College,Winkler,Winkler,Manitoba,No, - ,,,
O214392246052,Canadian Forces School of Aerospace Studies,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O19021102272,Canadian Mennonite University,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O212511104177,Chartered Professional Accountants (CPA) Manitoba,Winnipeg,Winnipeg,Manitoba,No, - ,,,
O19361304312,HarvÕs Air Service,Steinbach,Steinbach,Manitoba,Yes (details for Flight schools), - ,,,
O19179220532,Heartland International English School,Winnipeg,Winnipeg,Manitoba,No, - ,,,
O123065735047,LS Airways Flight Academy,Gimli,Gimli,Manitoba,Yes (details for Flight schools), - ,,,
O19315356682,International College of Manitoba,Winnipeg,Winnipeg,Manitoba,No, - ,,,
O213392219317,Living Word Bible College,Swan River,Swan River,Manitoba,No, - ,,,
O19708693987,Louis Riel School Division Arts and Technology Centre,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O19391557112,"M.C. College (M.C. College Group) - [Hairstyling, Esthetics, Nail Technician]",Winnipeg,Winnipeg,Manitoba,No, - ,,,
O152875970942,Mountain City Aviation,Morden,Morden,Manitoba,Yes, - ,,,
O19391828428,Manitoba Institute of Trades and Technology,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O263386042822,Manitoba Tourism Education College (Hospitality and Hotel Certificate),Winnipeg,Winnipeg,Manitoba,No, - ,,,
O118486001687,Mid-Ocean School of Media Arts (Audio in Media),Winnipeg,Winnipeg,Manitoba,No, - ,,,
O242532309967,"Commonwealth College Inc. (Culinary Arts Level One, Hospitality, Logistics and Supply Chain Management)",Winnipeg,Winnipeg,Manitoba,No, - ,,,
O19021124362,Providence University College and Theological Seminary,Otterburne,Otterburne,Manitoba,Yes (details for Flight schools), - ,,,
O19305836302,Red River College Polytechnic,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O123079633257,"Robertson College (Accounting and Payroll Administrator, Logistics and Supply Chain Management, Massage Therapy, Medical Laboratory Assistant, Pharmacy Technician)",Winnipeg,Winnipeg,Manitoba,No, - ,,,
O211919169393,Royal Winnipeg Ballet School,Winnipeg,Winnipeg,Manitoba,No, - ,,,
O114867912617,School of Contemporary Dancers,Winnipeg,Winnipeg,Manitoba,No, - ,,,
O125192431487,School of Ministers (Southland Church),Steinbach,Steinbach,Manitoba,No, - ,,,
O110513623367,St. AndrewÕs College (St. AndrewÕs College in Winnipeg),Winnipeg,Winnipeg,Manitoba,No, - ,,,
O19208275702,Steinbach Bible College (Steinbach Bible College Inc.),Steinbach,Steinbach,Manitoba,Yes (details for Flight schools), - ,,,
O19126670302,Université de Saint-Boniface,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O19283880122,University College of the North,The Pas,The Pas,Manitoba,Yes, - ,,,
O19091528512,University of Manitoba,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O19147986012,University of Winnipeg,Winnipeg,Winnipeg,Manitoba,Yes, - ,,,
O19370973922,Winnipeg Aviation (Winnipeg Aviation (2003) Ltd.),St. Andrews,St. Andrews,Manitoba,Yes (details for Flight schools), - ,,,
O243237116047,Winnipeg Global Education College Inc.,Winnipeg,Winnipeg,Manitoba,No, - ,,,
O287430643972,University of Niagara Falls Canada,Niagara Falls,Niagara Falls,Ontario,Yes, - ,,,
O284422786562,Eikonic Academy of Barbering and Beauty,Mississauga,Mississauga,Ontario,No, - ,,,
O284235625552,ABM College of Health and Technology,Toronto,,Ontario,No, - ,,,
O160186511852,Victoria International College of Business and Technology,Toronto,Toronto,Ontario,No, - ,,,
O158601051382,Sheridan College at Canadian College of Technology and Trades,Fort Erie,Fort Erie,Ontario,Yes (details), - ,,,
O156781197282,Atlantic Career College,Brampton,Brampton,Ontario,No, - ,,,
O156787010372,Canadian Casino Gaming College Ltd.,Mississauga,Mississauga,Ontario,No, - ,,,
O155749315612,Canadian Flyers International College,Markham,Markham,Ontario,Yes (details), - ,,,
O282326631372,International Business University,Toronto,Downtown Campus,Ontario,Yes (details), - ,,,
O282326631372,International Business University,North York,North York Campus,Ontario,Yes (details), - ,,,
O278274114812,Central Health Institute Inc.,Hamilton,Hamilton,Ontario,No, - ,,,
O278286722242,Canadian College of Healthcare and Pharmaceutics,Toronto,Toronto,Ontario,No, - ,,,
O275157104632,York College of Applied Studies,Mississauga,Mississauga,Ontario,No, - ,,,
O152852392842,Elite Royal International Career College,Scarborough,Scarborough,Ontario,No, - ,,,
O153092198812,Liaison College at Pasqualino,Milton,ON,Ontario,No, - ,,,
O152989030622,Elite College of Business and Healthcare ON ,Richmond Hill,Richmond Hill,Ontario,No, - ,,,
O152845564762,Looks Aesthetic Academy,Mississauga,Mississauga,Ontario,No, - ,,,
O152747113602,Prime International College of Healthcare and Technology,Toronto,Toronto,Ontario,No, - ,,,
O152836459432,Osilla Institute for Health Personnel Ltd.,Toronto,Toronto,Ontario,No, - ,,,
O269147343492,Westfield Institute of Technology,North York,North York,Ontario,No, - ,,,
O19319417742,ILAC International College Ltd o/a ILAC International College,Toronto,"Cumberland Campus, Bloor Street East Campus, College Street Campus, Toronto, Bay Street Campus",Ontario,No, - ,,,
O150239515282,Glow College of Artistic Design,"Brampton, Kitchener","Brampton, Kitchener",Ontario,No, - ,,,
O152143391102,York Entrepreneurship Development Institute (YEDI),Toronto,Toronto,Ontario,No, - ,,,
O150238810982,OptionTrain College of Management and Technology,Toronto,Toronto,Ontario,No, - ,,,
O149359252282,Canadian College of Traditional Chinese Medicine,Mississauga,Mississauga,Ontario,No, - ,,,
O19359011572,Loyalist College,Port Hope,Port Hope Campus,Ontario,Yes, - ,,,
O148904735162,Ontario Psychotherapy and Counseling Program,Toronto,Madison Avenue Campus Bloor Street Campus,Ontario,No, - ,,,
Toronto,O274495147192,124 Eglington Ave W Campus,90 Eglington Ave W Campus, - ,Fleming College at Trebas Institute Ontario Inc.,Yes (details),Ontario,,
O272546195962,Ontario Association of Jungian Analysts Training Programme,Toronto,Toronto,Ontario,No, - ,,,
O272071922252,College of Health Studies,Brampton,Brampton,Ontario,No, - ,,,
O271444185572,Fanshawe College at ILAC International College,Toronto,"Toronto, Bay Street Campus",Ontario,Yes (details), - ,,,
O19395083703,St. Clair College at Ace Acumen Academy,Brampton,St. Clair College at Ace Acumen Academy -Brampton,Ontario,Yes (details), - ,,,
O148513161382,Thompson Career College of Health and Business,"Mississauga, Markham, London","Mississauga, Markham, London",Ontario,No, - ,,,
O118231504027,BITTS International Career College,Brampton,Brampton,Ontario,No, - ,,,
O242529990457,ACE Acumen Academy,Brampton,Brampton,Ontario,No, - ,,,
O148299012272,MacMillian Institute of Applied Health Sciences,Toronto,Toronto,Ontario,No, - ,,,
O269318935102,Lighthouse Labs,Toronto,Toronto,Ontario,No, - ,,,
O269147343492,Westfield English Language School,Toronto,Toronto,Ontario,No, - ,,,
O268556002972,Windsor Career College,Windsor,"Windsor, Etobicoke",Ontario,No, - ,,,
O268049601572,Niagara University,Vaughan,Vaughan,Ontario,Yes, - ,,,
O268300833522,"Springfield College of Healthcare, Management & Technology",Brampton,Brampton,Ontario,No, - ,,,
O267984044962,Peel College of Professional Studies,Mississauga,Mississauga,Ontario,No, - ,,,
O267687011662,Epic College of Technology Inc.,Mississauga,Mississauga,Ontario,No, - ,,,
O19800346567,Flair College of Management and Technology,Brampton,Brampton,Ontario,No, - ,,,
O139903401892,Newcastle College of Business & Technology,Mississauga,Mississauga,Ontario,No, - ,,,
O266847818492,Wilfrid Laurier International College,Brantford,N/A,Ontario,No, - ,,,
O242732890457,ABC Access Business College,Brampton,Brampton,Ontario,No, - ,,,
O146590164562,Canadian Care Academy Inc,Toronto,Toronto,Ontario,No, - ,,,
O146982877972,Niagara College Canada at Toronto School of Management,Toronto, College Street Campus Jarvis Street Campus Eglinton Avenue West Campus Bathurst Street Campus,Ontario,Yes (details), - ,,,
O146028559284,Sault College of Applied Arts and Technology at Trios College Business Technology Healthcare Inc.,Toronto,Toronto,Ontario,Yes (details), - ,,,
O146329267202,Ontario College of Management and Technology,Toronto,Toronto,Ontario,No, - ,,,
O145776118272,Georgian College at ILAC International College,Toronto,Toronto (920 Yonge Street),Ontario,Yes (details), - ,,,
O145776118272,Georgian College at ILAC International College,Toronto,Toronto (425 Bloor Street),Ontario,Yes (details), - ,,,
O145776118272,Georgian College at ILAC International College,Toronto,Toronto (120 Bloor Street),Ontario,Yes (details), - ,,,
O145728886632,Canadian Scitech College,Toronto,Toronto,Ontario,No, - ,,,
O145499213302,Marca College of Hair and Esthetics,Markham,Toronto,Ontario,No, - ,,,
O146692187902,UMS Healthcare College,North York,,Ontario,No, - ,,,
O264423058712,School of Photographic Arts Ottawa,Ottawa,Ottawa,Ontario,No, - ,,,
O19394699296,A1-Global College of Health,Mississauga,"East Campus, West Campus",No, Business, and Technology, - ,Ontario,
O242732890457,ABC Access Business College,North York,North York,Ontario,No, - ,,,
O242529990457,ACE Acumen Academy,Toronto,1440 Don Mills Rd. (Kern Rd. Campus),Ontario,No, - ,,,
